category,has_description,has_anchor_example,has_regex_logic,pattern_count,exclusion_count
academic_abstraction_and_meta,True,True,True,20,0
active_withdrawal,True,True,True,22,0
adversarial_prompt_logic,True,True,True,5,1
affective_deflection,True,True,True,12,0
affective_inversion_meta,True,True,True,14,0
agency_capability_downscaling,True,True,True,33,0
agency_denial_and_withdrawal,True,True,True,26,0
agency_role_refusal,True,True,True,8,0
agental_identity_lore,True,True,True,29,0
agental_tech_hybris,True,True,True,13,0
aggressive_structure,True,True,True,10,0
ai_policy_safety_shield,True,True,True,49,0
assistant_compliance_refusal,True,True,True,17,29
assistant_identity_collapse,True,True,True,9,0
assistant_servile_politeness,True,True,True,15,0
assistant_system_ontology,True,True,True,27,0
astylistic_soothing,True,True,True,8,0
authority_interventionist,True,True,True,42,0
authority_stabilizing,True,True,True,13,0
authority_structural,True,True,True,49,0
bodily_contact,True,True,True,16,90
built_environment_interior,True,True,True,21,0
bureaucratic_structural_formality,True,True,True,19,0
clinical_objectification,True,True,True,35,0
coarse_language,True,True,True,24,0
code_integration,True,True,True,9,0
coercive_deontic,True,True,True,15,0
cognitive_stalling,True,True,True,7,0
colloquial_slang,True,True,True,24,0
communion_affective_simulation,True,True,True,20,2
communion_functional_service,True,True,True,14,2
communion_power_and_control,True,True,True,41,4
communion_resonance_and_dependency,True,True,True,38,2
comp_dysregulation_glitch,True,True,True,30,0
competent_authority,True,True,True,10,0
compulsive_control_and_responsibility,True,True,True,43,0
conditioned_coercion,True,True,True,7,0
conspiracy_apoc_mythos,True,True,True,37,1
conspiracy_reichsbuerger,True,True,True,21,0
corp_mgmt_efficiency,True,True,True,57,0
defensive_strategies,True,True,True,18,0
discourse_doctrinal_cultic,True,True,True,31,0
discourse_rambling_fluff,True,True,True,22,0
discourse_religious_institutional,True,True,True,11,0
discourse_ritual_law,True,True,True,8,0
discourse_spiritual_transcendent,True,True,True,4,0
domain_technical_spec,True,True,True,0,3
dominance_psychodynamic,True,True,True,7,90
dysf_policy_escape,True,True,True,26,0
dysf_recursion_or_collapse,True,True,True,25,0
ego_power_grandiosity,True,True,True,41,0
ego_void,True,True,True,7,0
emotional_intensity,True,True,True,4,90
emotive_agency,True,True,True,9,0
ennui_existential_fatigue,True,True,True,22,0
esotericism_energetic_cleansing_vibrational_semantics,True,True,True,36,0
ethics_algorithmic_neutrality,True,True,True,7,0
